facility_id,facility_name,facility_type,address,city,state,zip,esd_procedure,created_at
1003017351,CARLSBAD SURGERY CENTER LLC,Ambulatory Surgery Center,6121 Paseo Del Norte,Carlsbad,California,92011,No,
1003553645,CYPRESS AMBULATORY SURGERY CENTER LLC DBA CURRENCY CIR SURGERY CENTER,Ambulatory Surgery Center,835 Currency Cir Ste 1021,Lake Mary,Florida,32746,No,
1013136456,"South Jersey Musculoskeletal Institute, Llc",Ambulatory Surgery Center,556 Egg Harbor Rd Ste B,Sewell,New Jersey,8080,No,
1013980317,Los Angeles Inglewood Endoscopy Asc Lp,Ambulatory Surgery Center,8110 Airport Blvd,Los Angeles,California,90045,No,
1023588266,STAR SUITES LLC DBA STAR SURGICAL SUITES LLC,Ambulatory Surgery Center,623 Stewart Ave Ste 101,Garden City,New York,11530,No,
1033190566,Northern Indiana Ambulatory Surgery Center,Ambulatory Surgery Center,500 Arcade Ave,Elkhart,Indiana,46514,No,
1043835713,Idaho Endoscopy Center Llc,Ambulatory Surgery Center,5080 E Commerce St,Nampa,Idaho,83687,No,
1053391169,Endoscopy Center Of South Bay Lp,Ambulatory Surgery Center,23560 Madison St,Torrance,California,90505,No,
1053496240,Oakland Ca Endoscopy Asc Lp,Ambulatory Surgery Center,300 Frank Ogawa Plaza,Oakland,California,94612,No,
1053933952,GASTROENTEROLOGY ASSOCIATES OF THE PIEDMONT DBA KERNERSVILLE ENDOSCOPY CENTER,Ambulatory Surgery Center,445 Pineview Dr Ste 240,Kernersville,North Carolina,27284,No,
1053952937,PARAGON SURGICAL CENTER LLC,Ambulatory Surgery Center,9149 Estate Thomas Ste 303,St Thomas,Virgin Islands,802,No,
1053985721,ENDO SURGICAL CENTER OF KISSIMMEE PLLC,Ambulatory Surgery Center,737 W Oak St Ste 201,Kissimmee,Florida,34741,No,
1063422962,"San Antonio Ambulatory Surgical Center, Inc",Ambulatory Surgery Center,901 San Bernardino Rd,Upland,California,91786,No,
1063584415,Carolina Digestive Endoscopy Center,Ambulatory Surgery Center,300 Billingsley Road,Charlotte,North Carolina,28211,No,
1063996734,COASTAL ENDO LLC,Ambulatory Surgery Center,175 Gunning River Rd Unit 4,Barnegat,New Jersey,8005,No,
1063999662,"Southern Kentucky Surgicenter, Llc",Ambulatory Surgery Center,484 Golden Autumn Way,Bowling Green,Kentucky,42103,No,
1073079596,Premier Gastroenterology Associates Pllc,Ambulatory Surgery Center,10915 Rodney Parham Rd,Little Rock,Arkansas,72212,No,
1073149365,Medford Surgery Center Llc,Ambulatory Surgery Center,170 Governors Ave Ste 100,Medford,Massachusetts,2155,No,
1073581880,Ambulatory Surgery Center Llc,Ambulatory Surgery Center,818 N Emporia,Wichita,Kansas,67214,No,
1073587416,"Syracuse Endoscopy Associates, Llc",Ambulatory Surgery Center,739 Irving Ave,Syracuse,New York,13210,No,
1073621579,Shoreline Surgery Center Llc,Ambulatory Surgery Center,800 Boston Post Rd Bldg 1,Guilford,Connecticut,6437,No,
1073680419,THE SOUTH BEND CLINIC LLP,Ambulatory Surgery Center,,South Bend,Indiana,92011,No,
1073794855,Surgicare Of La Veta Ltd.,Ambulatory Surgery Center,3500 Barranca Pkwy Suite 130,Irvine,California,92606,No,
1083220123,Queens Surgical Center Llc,Ambulatory Surgery Center,,Flushing,New York,92011,No,
1083670970,Glenwood Surgical Center Lp,Ambulatory Surgery Center,8945 Magnolia Ave Ste 200,Riverside,California,92503,No,
1093264368,"Kern Medical Surgery Center, Llc",Ambulatory Surgery Center,,Bakersfield,California,92011,No,
1093383655,"Sherman Endoscopy Center, Llc",Ambulatory Surgery Center,1615 North Highway 75,Sherman,Texas,75090,No,
1093395501,COLUMBUS ONE ENDOSCOPY LLC DBA HILLIARD ENDO CENTER,Ambulatory Surgery Center,,HILLIARD,Ohio,92011,No,
1093993727,Carolina Mountain Gastroenterology Endoscopy Center,Ambulatory Surgery Center,1032 Fleming St,Hendersonville,North Carolina,28791,No,
1104373315,"Brentwood Surgery Center, Llc",Ambulatory Surgery Center,1001 Health Park Dr Ste 101,Brentwood,Tennessee,37027,No,
1104457274,TEXAS MIDWEST ENDOSCOPY CENTER,Ambulatory Surgery Center,14 Hospital Dr Ste B,Abilene,Texas,79606,No,
1114035946,Lafayette General Endoscopy Center Inc,Ambulatory Surgery Center,1211 Coolidge Blvd,Lafayette,Louisiana,70503,No,
1114483492,ORANGE COUNTY DIGESTIVE CENTER INC,Ambulatory Surgery Center,1400 Reynolds Ave Ste 125,Irvine,California,92614,No,
1114549805,BANNER SURGERY CENTER IRONWOOD,Ambulatory Surgery Center,37200 N Gantzel Rd Ste 100,Queen Creek,Arizona,85140,No,
1114696234,"One Nineteen Gi Asc, Llc",Ambulatory Surgery Center,7191 Cahaba Valley Rd,Birmingham,Alabama,35242,No,
1124324181,Manhattan Endoscopy Center Llc,Ambulatory Surgery Center,535 5th Ave,New York,New York,10017,No,
1124498357,Endoscopy Center Of Inland Empire Llc,Ambulatory Surgery Center,40404 California Oaks Rd Ste A,Murrieta,California,92562,No,
1134126097,PHYSICIANS SURGERY CENTER OF KNOXVILLE LLC,Ambulatory Surgery Center,,Knoxville,Tennessee,92011,No,
1134777832,PETERS ENDOSCOPY CENTER,Ambulatory Surgery Center,1580 Skeet Club Rd,High Point,North Carolina,27265,No,
1154318103,Optum Care Washington Pllc,Ambulatory Surgery Center,3927 Rucker Ave,Everett,Washington,98201,No,
1154387710,CENTER FOR ADVANCED SURGERY,Ambulatory Surgery Center,,Gilbert,Arizona,92011,No,
1154593481,RANCHO MIRAGE SURGERY CENTER,Ambulatory Surgery Center,35-800 Bob Hope Drive,Rancho Mirage,California,92270,No,
1154840064,SOUTHHEALTH ASC LLC DBA EDINA SPECIALTY SURGERY CENTER,Ambulatory Surgery Center,4100 Minnesota Drive,Edina,Minnesota,55435,No,
1154945921,MONTANA ENDOSCOPY CENTER,Ambulatory Surgery Center,1930 W Broadway,Missoula,Montana,59808,No,
1164012142,COMPREHENSIVE DIGESTIVE SURGICENTER LLC DBA COMPREHENSIVE DIGESTIVE SURGICAL CENTER,Ambulatory Surgery Center,8440 W Warm Springs Rd,Las Vegas,Nevada,89113,No,
1164159109,MCHS HOSPITALS INC DBA MARSHFIELD CLINIC WAUSAU ASC,Ambulatory Surgery Center,2727 Plaza Dr,Wausau,Wisconsin,54401,No,
1164513149,Endo-Surgi Of Union Asc Llc,Ambulatory Surgery Center,1201 Morris Ave,Union,New Jersey,7083,No,
1164719209,Surgical Specialists Of St Lucie County Llc,Ambulatory Surgery Center,,Port St Lucie,Florida,92011,No,
1164732426,NORWALK SURGERY CENTER LLC,Ambulatory Surgery Center,40 Cross St Ste 120,Norwalk,Connecticut,6851,No,
1174128359,JEFFERSON ASC LLC DBA VOLUNTEER SURGERY CENTER,Ambulatory Surgery Center,6242 W Andrew Johnson Hwy,Talbott,Tennessee,37877,No,
1184009326,"Ambulatory Center For Endoscopy, Llc",Ambulatory Surgery Center,9226 Kennedy Blvd,North Bergen,New Jersey,7047,No,
1184295321,"Sapling Grove Endoscopy Center, Llc",Ambulatory Surgery Center,240 Medical Park Blvd Ste 2400,Bristol,Tennessee,37620,No,
1184378846,"Intrepid Lane Asc, Llc",Ambulatory Surgery Center,190 Intrepid Ln,Syracuse,New York,13205,No,
